time,text,event
Fri May 21 22:31:04 +0000 2010,Se registra balacera entre Militares y sicarios en #Sinaloa http://t.co/y3RjEeTv #noticias,
Tue May 29 18:19:33 +0000 2012,Balacera entre polimilitares y ladrones de autos: 3 muertos http://t.co/8XjPbsFt,
Fri Jun 03 16:16:54 +0000 2011,RT @MundoNarco: Se registra balacera entre Militares y sicarios en #Sinaloa http://t.co/y3RjEeTv #noticias,
Sat Dec 18 04:52:23 +0000 2010,¿Y los voladores como de que o que? O es una balacera?,
Tue Sep 14 00:36:48 +0000 2010,Balacera entre F.A y Sicarios deja tres muertos en #Generalterán #NL #Mtyfollow #Rerynosafollow ~  http://t.co/Rfzn39RW,
Fri Feb 17 04:11:34 +0000 2012,"""Al final solo queda abrazarnos en el medio de esta balacera a la que llamamos vida"" Fito Paez",
Sat Jun 05 18:46:31 +0000 2010,"Con marcha, recuerdan a ‘Lalito’, un niño que murió como víctima colateral en una balacera en #Torreón http://t.co/viuG7n8A",
Thu Mar 03 12:10:46 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/sYzG16mc",
Tue Nov 08 06:09:45 +0000 2011,"RT @lasillarota: Con marcha, recuerdan a ‘Lalito’, un niño que murió como víctima colateral en una balacera en #Torreón http://t.co/viuG7n8A",
Fri Jan 04 21:36:13 +0000 2008,"RT @lasillarota: Con marcha, recuerdan a ‘Lalito’, un niño que murió como víctima colateral en una balacera en #Torreón http://t.co/viuG7n8A",
Mon Apr 26 18:13:57 +0000 2010,"RT @lasillarota: Con marcha, recuerdan a ‘Lalito’, un niño que murió como víctima colateral en una balacera en #Torreón http://t.co/viuG7n8A",
Sat Mar 05 05:58:03 +0000 2011,Pos si! Tengo balacera! Pssss!RT @kmoscol: @pepe_chager qe pues ? qué pues?,
Mon Nov 22 18:34:46 +0000 2010,"- Hubo una balacera.
- ¿Cuál es el saldo de los muertos?
- No sé, no revisamos sus celulares.",
Sun Jun 17 18:36:55 +0000 2012,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Thu Jul 14 17:44:28 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/bCJPZigc",
Wed Mar 24 00:00:54 +0000 2010,@cd_victoria casi nos tica la balacera x soriana palmas corrimos jajajaja,
Fri May 21 22:31:04 +0000 2010,Balacera deja 2 muertos y 2 heridos en #Nayarit http://t.co/nZuyzZp9 #noticias,
Sat Jul 09 13:50:24 +0000 2011,Balacera deja 2 muertos y 2 heridos en Nayarit: Dos presuntos delincuentes muertos y dos agentes policíacos malh... http://t.co/hXgmfebm,
Wed Feb 29 08:08:00 +0000 2012,Balacera deja 2 muertos y 2 heridos en Nayarit: Dos presuntos delincuentes muertos y dos agentes policíacos malh... http://t.co/vtVSORXh,
Sat Sep 19 04:31:11 +0000 2009,"RT @El_Guadana: —Hubo una balacera. —¿Cuál es el saldo de los muertos? —No sé, no revisamos sus celulares.",
Thu Nov 22 01:42:52 +0000 2012,RT @MundoNarco: Balacera deja 2 muertos y 2 heridos en #Nayarit http://t.co/nZuyzZp9 #noticias,
Thu Nov 22 01:42:52 +0000 2012,"""@MundoNarco: Se registra balacera entre Militares y sicarios en #Sinaloa http://t.co/N900T2n6 #noticias""",
Mon Jul 30 17:25:05 +0000 2012,RT @teteguz: @cd_victoria casi nos tica la balacera x soriana palmas corrimos jajajaja,
Sat Mar 06 20:55:05 +0000 2010,RT @MundoNarco: Balacera deja 2 muertos y 2 heridos en #Nayarit http://t.co/nZuyzZp9 #noticias,
Thu Mar 03 12:10:46 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/sBZyb4T2",
Sat May 21 14:57:30 +0000 2011,Balacera con semiautomatica a 100 mts de subestacion y policia aparece media hora despues. Sensacion: INSEGURIDAD!!!,
Fri Jul 29 19:30:55 +0000 2011,Balacera en tocumen @tvnnoticias heridos http://t.co/dWJoMfzW,
Sat Mar 06 20:55:05 +0000 2010,RT @MundoNarco: Se registra balacera entre Militares y sicarios en #Sinaloa http://t.co/y3RjEeTv #noticias,
Sun Mar 27 20:10:41 +0000 2011,RT @MundoNarco: Se registra balacera entre Militares y sicarios en #Sinaloa http://t.co/y3RjEeTv #noticias,
